Module,Gene
Degradation,AGL
Degradation,PHKA1
Degradation,PHKB
Degradation,PHKG1
Degradation,PYGB
Degradation,PYGL
Degradation,PYGM
Differentiation,ESR1
Differentiation,ESR2
Differentiation,IVL
Differentiation,KRT13
Differentiation,KRT14
Differentiation,KRT4
Differentiation,SPRR1A
Differentiation,SPRR1B
Differentiation,TP63
Synthesis,GBE1
Synthesis,GYS1
Synthesis,GYS2
Synthesis,PGM1
Synthesis,PPP1R3A
Synthesis,PPP1R3B
Synthesis,PPP1R3C
Synthesis,PPP1R3D
Synthesis,UGP2
Warburg,ENO1
Warburg,G6PD
Warburg,HK2
Warburg,LDHA
Warburg,PFKL
Warburg,PKM
Warburg,SLC2A1
Warburg,SLC2A3
